,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
24299,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
35979,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
31784,non_purchase,2,1,1,0.0008333333333333334,1,1,1,0.05,0.5,1.0
25819,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
32632,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
6674,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38954,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
9127,non_purchase,3,2,1,0.02666666666666667,3,0,2,0.8,0.0,0.0
15001,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
27296,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38974,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
24935,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
29182,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
37590,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
5211,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
11822,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
37148,non_purchase,3,2,2,1.5927777777777778,2,1,2,47.78333333333334,0.3333333333333333,0.5
6816,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
466,non_purchase,5,1,1,112.00305555555556,5,0,3,2240.0611111111116,0.0,0.0
34846,non_purchase,10,6,2,0.3113888888888889,8,2,1,18.683333333333334,0.2,0.3333333333333333
9042,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
21985,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
26217,non_purchase,2,1,1,2.7908333333333335,2,0,1,167.45000000000002,0.0,0.0
14558,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
19490,non_purchase,3,3,1,0.015,3,0,1,0.8999999999999999,0.0,0.0
30312,non_purchase,2,1,1,0.105,2,0,1,6.3,0.0,0.0
16050,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
28548,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
3144,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
8277,non_purchase,2,2,1,0.017777777777777778,2,0,1,1.0666666666666667,0.0,0.0
39393,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
